PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,TYPE,CLASSIFICATION,"ROAD SECTION/BRIDGE",STATUS,"DATE REPORTED (not passable) [m/d/Y]","TIME REPORTED (not passable) [24:00]","DATE REPORTED (passable) [m/d/Y]","TIME REPORTED (passable) [24:00]",REMARKS
"ILOCOS SUR","Santa Cruz",Quinsoriano,Road,"National (secondary)","Quinsoriano National Road","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,00:00,2025-11-10,09:00,"Due to a fallen Mango Tree caused by strong winds."
"ILOCOS SUR",Tagudin,"San Miguel",Road,Barangay,"Sitio Road","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,00:31,2025-11-10,09:00,"Due to grazed trees"
"ILOCOS SUR",Tagudin,Sawat,Road,Barangay,"Farm to Market Road","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,11:50,2025-11-10,04:07,"Due to grazed trees"
"ILOCOS SUR",Tagudin,Jardin,Road,Barangay,"Farm to Market Road","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,00:34,2025-11-10,03:10,"Due to grazed trees"
"ILOCOS SUR",Tagudin,Magsaysay,Road,Provincial,,"PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,09:00,2025-11-10,11:57,"Due to grazed trees"
"LA UNION","San Fernando",Sevilla,Road,"National (secondary)","San Fernando By Pass Road a. K0268+050, Brgy. Sevilla, San Fernando City, La Union","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,,2025-11-12,,"Due to leaning post<br>passable as per coordination to CDRRMO"
"LA UNION",Balaoan,Almeida,Road,"National (secondary)","Bacnotan-Luno-Balaoan Road a. K0295+850, Brgy. Almeida, Balaoan, La Union","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,,2025-11-10,,"Rock Debris<br>cleared as per coordination to LGU"
"LA UNION",Tubao,Amallapay,Road,"National (secondary)","Agoo-Baguio City Road (S04790LZ) a. K0241+500 Brgy. Amallapay, Tubao, La Union","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,,2025-11-10,,"Due to fallen tree"
"LA UNION",Bauang,Acao,Road,"National (primary)","Bauang-Baguio City Road (S00240LZ) a. K0262+200 Brgy. Acao, Bauang La Union","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,,2025-11-10,,"Hanging Bamboo Tree"
"LA UNION",Bangar,none,Road,City/Municipality,"Bangar- Luna Rd","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,03:00,2025-11-10,11:04,"Due to fallen tree brought by strong <br>winds of TC UWAN"
"LA UNION",Bangar,none,Road,City/Municipality,"Bangar- Castro Rd","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,03:00,2025-11-10,11:04,"Due to fallen tree brought by strong <br>winds of TC UWAN"
"LA UNION",Bacnotan,none,Road,City/Municipality,"Quirino-Bitalag Road","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,03:30,2025-11-10,08:00,"Due to fallen tree brought by strong <br>winds of TC UWAN"
"LA UNION",Naguilian,none,Road,City/Municipality,"Natividad-Suguidan Rd","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,,2025-11-10,,"Due to fallen trees along the roads"
"LA UNION",Rosario,none,Road,Barangay,"Carunoan East","NPLV - NOT PASSABLE LIGHT VEHICLES",2025-11-09,,,,
"LA UNION",Pugo,"Tavora East",Road,Provincial,"Agoo Baguio Road","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,10:34,2025-11-10,05:00,"Due to fallen tree brought by strong <br>winds of TC UWAN"
PANGASINAN,Bani,"Dacap Norte",Road,Provincial,"Provincial Road at Dacap Norte","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,00:24,2025-11-11,05:00,"Clearing operations on hold due to persisting strong winds"
PANGASINAN,Bolinao,"Sitio Mantapopo, Brgy. Estanza",Road,Barangay,"Sitio Mantapopo, Brgy. Estanza","PTLV - PASSABLE TO LIGHT VEHICLES",2025-11-10,05:00,2025-11-10,,"as per coordination to LGU"
PANGASINAN,Bayambang,"Beldet Road, Tamaro",Road,Barangay,"Beldet Road, Tamaro","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,12:00,2025-11-11,10:00,
PANGASINAN,Bayambang,Alinggan-Banaban,Road,Barangay,Alinggan-Banaban,"PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,12:00,2025-11-11,10:00,
PANGASINAN,Calasiao,"Sitio Lasip Walang, Buenlag",Road,City/Municipality,"Sitio Lasip Walang, Buenlag","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,08:00,2025-11-10,01:00,
PANGASINAN,"Santa Barbara","Payas, Zone 3",Road,Provincial,"Payas, Zone 3","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,19:00,2025-11-11,,
PANGASINAN,Tayug,none,Road,"National (secondary)","portion of Brgy. Barangobong","NPATV - NOT PASSABLE ALL TYPES VEHICLES",2025-11-09,23:30,,,#NAME?
PANGASINAN,Tayug,none,Road,Barangay,"Magallanes-Libertad Road","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,23:30,2025-11-10,,#NAME?
PANGASINAN,Tayug,none,Road,"National (secondary)","Tayug-San Nicolas Road","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,23:30,2025-11-10,,#NAME?
PANGASINAN,Tayug,Magallanes,Road,"National (secondary)","Pangasinan - Nueva Vizcaya Road a. K0194+050, Brgy. Magallanes, Tayug, Pangasinan","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,,2025-11-10,,"Three (3) Toppled Electric Pole<br>"
PANGASINAN,Lingayen,"Maramba Boulevard",Road,"National (tertiary)","Lingayen Capitol Loop (Left and Right Side) a. K0364+(-840) - K0364+242, K0364+(-219) - K0364+836 Maramba Boulevard, Lingayen","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,,2025-11-10,,"Flooded due to storm surge, Height = 300mm to 400mm<br>"
PANGASINAN,Urdaneta,Nancamaliran,Road,"National (primary)","Urdaneta Jct. Dagupan - Lingayen Road a. K0182+700, Brgy. Nancamaliran, Urdaneta City, Pangasinan","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-10,,2025-11-10,,"Fallen Tree<br>"
PANGASINAN,Pozorrubio,Palguyod,Road,Barangay,Palguyod,"PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,23:00,2025-11-10,,"due to fallen tree"
PANGASINAN,Pozorrubio,"Poblacion District IV",Road,Barangay,"Poblacion District IV","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,23:00,2025-11-10,,"due to fallen tree"
PANGASINAN,Pozorrubio,"Poblacion District II",Road,City/Municipality,"Poblacion District II","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,23:00,2025-11-10,,"due to fallen tree"
PANGASINAN,Pozorrubio,"Poblacion District I",Road,City/Municipality,"Poblacion District I","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,04:07,2025-11-10,,"due to fallen tree"
PANGASINAN,Pozorrubio,"Poblacion District III",Road,City/Municipality,"Poblacion District III","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,21:00,2025-11-10,,"due to fallen tree"
PANGASINAN,Pozorrubio,Laoac,Road,Barangay,Laoac,"PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,06:00,2025-11-10,,"Due to overflowing spillway"
PANGASINAN,Pozorrubio,Nama,Road,Barangay,Nama,"PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,23:00,2025-11-10,,"due to fallen tree"
PANGASINAN,Pozorrubio,"Poblacion District III",Road,Barangay,"Poblacion District III","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,23:00,2025-11-10,,"due to fallen tree"
PANGASINAN,Pozorrubio,Alipangpang,Road,Barangay,Alipangpang,"PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,06:00,2025-11-10,,"due to fallen tree"
PANGASINAN,Pozorrubio,Palacpalac,Road,Barangay,Palacpalac,"PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,23:00,2025-11-10,,"due to fallen tree"
PANGASINAN,Balungao,none,Road,Barangay,"San Miguel going to Casanicolasan, Rosales","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,,2025-11-10,,#NAME?
PANGASINAN,Balungao,none,Road,Barangay,"Pugaro going to Capulaan","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,20:43,2025-11-09,21:15,#NAME?
PANGASINAN,Balungao,none,Road,Barangay,"SanAurelio 2nd going to Angayan Sur","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,,2025-11-10,,#NAME?
PANGASINAN,"San Nicolas","Villa Verde, Pangasinan - Nueva Vizcaya Road  a. K0194+050, Brgy. Magallanes, Tayug, b. K0205+000 - K0227+416, c. K0213+100, d. K0213+200, e. K0213+300, f. K0213+500,  h. K0216+900, i. K0217+600, j. K0221+400, k. K0223+900, l. K0224+700, m. K0224+950, n. K0225+200,  o. K0225+700, p. K0225+950, q. K0226+600,r. K0227+050, s. K0227+400 Brgy. Malico",Road,"National (secondary)","Villa Verde","PATV - PASSABLE ALL TYPES VEHICLES",2025-11-09,13:40,2025-11-12,,"Weather Condition: Moderate to Heavy Rain with Moderate to Strong winds<br><br>Road Closed as Announced by LGU San Nicolas, Pangasinan and LGU Sta. Fe, Nueva Viscaya 1:00 PM, November 9, 2025<br><br>Alternate Routes:<br>1. For all types of vehicles traveling from Manila North Road to Sta. Fe, Nueva Vizcaya (and vice versa):<br>o Take Carmen East-West Diversion Road to Bakit-Bakit Junction, Umingan Road, then proceed to San Jose, Nueva Ecija, Aritao, Nueva Vizcaya, and Sta. Fe, Nueva Vizcaya.<br><br>2. For light vehicles only traveling from Manila North Road to Sta. Fe, Nueva Vizcaya (and vice versa):<br>o Take Binalonan-Asingan-Sta. Maria Road to Sta. Maria-San Quintin Provincial Road, then proceed to San Nicolas-Natividad-San Quintin-Umingan-Guimba Road, to Bakit-Bakit Junction, Umingan Road going to San Jose, Nueva Ecija, Aritao, Nueva Vizcaya, and Sta. Fe, Nueva Vizcaya.<br>-Totally passable as per coordination to LGU"
